# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of read_address_tb.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.read_address_tb
# 			      Reading 12345678 from Address 00000abc | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 115 ns Started: 115 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 115 ns Started: 115 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                  115 Time | ARESETN 0
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
# 			      Reading 12345678 from Address 00000abc | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_RESET: ASSERTION PASS => When ARESETN goes low ARREADY becomes low
#    Time: 125 ns Started: 125 ns  Scope: read_address_tb.ARREADY_RESET_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 128
# ** Info: ARVALID_RESET: ASSERTION PASS => When ARESETN goes low ARVALID becomes low
#    Time: 125 ns Started: 125 ns  Scope: read_address_tb.ARVALID_RESET_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 118
#                  135 Time
# 			      FINAL RESULT => ADDRESS: 00000abc | WRITE DATA: 12345678 | READ DATA: 12345678 | DATA MATCH
# 
# ** Note: $stop    : N:/Desktop/AXI4_LITE/read_address_tb.sv(85)
#    Time: 135 ns  Iteration: 1  Instance: /read_address_tb
# Break at N:/Desktop/AXI4_LITE/read_address_tb.sv line 85
