# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of Top.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.Top
# reset in middle of read
# Read Address 000000ab, mem 000000ab, RDATA xxxxxxxx
# 
# 
# Check for out of limit input write address
# Input Write Address: 0aaaaaaa | Input Write Data: 068f48f4 | Write Address(AWADDR): 0aaaaaaa | Write data(WDATA): 068f48f4 | Data in memory array(mem): xxxxxxxx
# 
# 
# Check for out of limit input read address
# Input Read Address: 0aaaaaaa | Read Address(AWADDR): 0aaaaaaa | Read data(RDATA): xxxxxxxx | Data in memory array(mem): xxxxxxxx
# 
# 
# multiple writes followed by multiple reads to all locations and check if the write and read data matches
# Address: 00000000 | Write Data: 0000b7de | Read Data: 0000b7de | Data Match
# Address: 00000001 | Write Data: 0000be83 | Read Data: 0000be83 | Data Match
# Address: 00000002 | Write Data: 00005986 | Read Data: 00005986 | Data Match
# Address: 00000003 | Write Data: 0000a814 | Read Data: 0000a814 | Data Match
# Address: 00000004 | Write Data: 000079cd | Read Data: 000079cd | Data Match
# Address: 00000005 | Write Data: 0000c65c | Read Data: 0000c65c | Data Match
# Address: 00000006 | Write Data: 0000604f | Read Data: 0000604f | Data Match
# Address: 00000007 | Write Data: 000017b2 | Read Data: 000017b2 | Data Match
# Address: 00000008 | Write Data: 0000e897 | Read Data: 0000e897 | Data Match
# Address: 00000009 | Write Data: 000056ff | Read Data: 000056ff | Data Match
# Address: 0000000a | Write Data: 0000cf1e | Read Data: 0000cf1e | Data Match
# Address: 0000000b | Write Data: 00004bac | Read Data: 00004bac | Data Match
# Address: 0000000c | Write Data: 0000812c | Read Data: 0000812c | Data Match
# Address: 0000000d | Write Data: 0000d4e4 | Read Data: 0000d4e4 | Data Match
# Address: 0000000e | Write Data: 00004e9e | Read Data: 00004e9e | Data Match
# Address: 0000000f | Write Data: 00001f85 | Read Data: 00001f85 | Data Match
# Address: 00000010 | Write Data: 0000a1b2 | Read Data: 0000a1b2 | Data Match
# Address: 00000011 | Write Data: 0000169b | Read Data: 0000169b | Data Match
# Address: 00000012 | Write Data: 00002752 | Read Data: 00002752 | Data Match
# Address: 00000013 | Write Data: 000058ad | Read Data: 000058ad | Data Match
# Address: 00000014 | Write Data: 00003b31 | Read Data: 00003b31 | Data Match
# Address: 00000015 | Write Data: 00003918 | Read Data: 00003918 | Data Match
# Address: 00000016 | Write Data: 0000eb99 | Read Data: 0000eb99 | Data Match
# Address: 00000017 | Write Data: 000013c0 | Read Data: 000013c0 | Data Match
# Address: 00000018 | Write Data: 0000a402 | Read Data: 0000a402 | Data Match
# Address: 00000019 | Write Data: 0000e68c | Read Data: 0000e68c | Data Match
# Address: 0000001a | Write Data: 0000fee1 | Read Data: 0000fee1 | Data Match
# Address: 0000001b | Write Data: 00005388 | Read Data: 00005388 | Data Match
# Address: 0000001c | Write Data: 00004f2f | Read Data: 00004f2f | Data Match
# Address: 0000001d | Write Data: 0000bb35 | Read Data: 0000bb35 | Data Match
# Address: 0000001e | Write Data: 00005f14 | Read Data: 00005f14 | Data Match
# Address: 0000001f | Write Data: 0000b60f | Read Data: 0000b60f | Data Match
# Address: 00000020 | Write Data: 0000ed11 | Read Data: 0000ed11 | Data Match
# Address: 00000021 | Write Data: 0000042d | Read Data: 0000042d | Data Match
# Address: 00000022 | Write Data: 00009d48 | Read Data: 00009d48 | Data Match
# Address: 00000023 | Write Data: 0000f1d7 | Read Data: 0000f1d7 | Data Match
# Address: 00000024 | Write Data: 00002a1d | Read Data: 00002a1d | Data Match
# Address: 00000025 | Write Data: 000066c1 | Read Data: 000066c1 | Data Match
# Address: 00000026 | Write Data: 000081f5 | Read Data: 000081f5 | Data Match
# Address: 00000027 | Write Data: 0000e298 | Read Data: 0000e298 | Data Match
# Address: 00000028 | Write Data: 0000e682 | Read Data: 0000e682 | Data Match
# Address: 00000029 | Write Data: 0000ec82 | Read Data: 0000ec82 | Data Match
# Address: 0000002a | Write Data: 0000d871 | Read Data: 0000d871 | Data Match
# Address: 0000002b | Write Data: 00004dc1 | Read Data: 00004dc1 | Data Match
# Address: 0000002c | Write Data: 0000af15 | Read Data: 0000af15 | Data Match
# Address: 0000002d | Write Data: 00000553 | Read Data: 00000553 | Data Match
# Address: 0000002e | Write Data: 0000867e | Read Data: 0000867e | Data Match
# Address: 0000002f | Write Data: 0000708f | Read Data: 0000708f | Data Match
# Address: 00000030 | Write Data: 00007d39 | Read Data: 00007d39 | Data Match
# Address: 00000031 | Write Data: 0000085e | Read Data: 0000085e | Data Match
# Address: 00000032 | Write Data: 0000c438 | Read Data: 0000c438 | Data Match
# Address: 00000033 | Write Data: 000031ab | Read Data: 000031ab | Data Match
# Address: 00000034 | Write Data: 000011a1 | Read Data: 000011a1 | Data Match
# Address: 00000035 | Write Data: 0000f17a | Read Data: 0000f17a | Data Match
# Address: 00000036 | Write Data: 00004c18 | Read Data: 00004c18 | Data Match
# Address: 00000037 | Write Data: 0000cf81 | Read Data: 0000cf81 | Data Match
# Address: 00000038 | Write Data: 000070b8 | Read Data: 000070b8 | Data Match
# Address: 00000039 | Write Data: 00001581 | Read Data: 00001581 | Data Match
# Address: 0000003a | Write Data: 0000ede1 | Read Data: 0000ede1 | Data Match
# Address: 0000003b | Write Data: 0000a6f8 | Read Data: 0000a6f8 | Data Match
# Address: 0000003c | Write Data: 00002ba2 | Read Data: 00002ba2 | Data Match
# Address: 0000003d | Write Data: 00007f2f | Read Data: 00007f2f | Data Match
# Address: 0000003e | Write Data: 0000c60d | Read Data: 0000c60d | Data Match
# Address: 0000003f | Write Data: 00008a97 | Read Data: 00008a97 | Data Match
# Address: 00000040 | Write Data: 00009038 | Read Data: 00009038 | Data Match
# Address: 00000041 | Write Data: 00001f43 | Read Data: 00001f43 | Data Match
# Address: 00000042 | Write Data: 000088c1 | Read Data: 000088c1 | Data Match
# Address: 00000043 | Write Data: 0000b34d | Read Data: 0000b34d | Data Match
# Address: 00000044 | Write Data: 0000ba1a | Read Data: 0000ba1a | Data Match
# Address: 00000045 | Write Data: 00006c75 | Read Data: 00006c75 | Data Match
# Address: 00000046 | Write Data: 000004c9 | Read Data: 000004c9 | Data Match
# Address: 00000047 | Write Data: 00002bd6 | Read Data: 00002bd6 | Data Match
# Address: 00000048 | Write Data: 0000f2d3 | Read Data: 0000f2d3 | Data Match
# Address: 00000049 | Write Data: 00007b01 | Read Data: 00007b01 | Data Match
# Address: 0000004a | Write Data: 000057d6 | Read Data: 000057d6 | Data Match
# Address: 0000004b | Write Data: 0000bd89 | Read Data: 0000bd89 | Data Match
# Address: 0000004c | Write Data: 0000fa2a | Read Data: 0000fa2a | Data Match
# Address: 0000004d | Write Data: 000040bf | Read Data: 000040bf | Data Match
# Address: 0000004e | Write Data: 0000b1e0 | Read Data: 0000b1e0 | Data Match
# Address: 0000004f | Write Data: 0000e60f | Read Data: 0000e60f | Data Match
# Address: 00000050 | Write Data: 000030a5 | Read Data: 000030a5 | Data Match
# Address: 00000051 | Write Data: 0000e2d4 | Read Data: 0000e2d4 | Data Match
# Address: 00000052 | Write Data: 0000c03f | Read Data: 0000c03f | Data Match
# Address: 00000053 | Write Data: 000037a3 | Read Data: 000037a3 | Data Match
# Address: 00000054 | Write Data: 00000f7e | Read Data: 00000f7e | Data Match
# Address: 00000055 | Write Data: 0000ae59 | Read Data: 0000ae59 | Data Match
# Address: 00000056 | Write Data: 0000177d | Read Data: 0000177d | Data Match
# Address: 00000057 | Write Data: 0000864e | Read Data: 0000864e | Data Match
# Address: 00000058 | Write Data: 00005718 | Read Data: 00005718 | Data Match
# Address: 00000059 | Write Data: 00008cba | Read Data: 00008cba | Data Match
# Address: 0000005a | Write Data: 000008e2 | Read Data: 000008e2 | Data Match
# Address: 0000005b | Write Data: 00000edb | Read Data: 00000edb | Data Match
# Address: 0000005c | Write Data: 00004c33 | Read Data: 00004c33 | Data Match
# Address: 0000005d | Write Data: 0000f713 | Read Data: 0000f713 | Data Match
# Address: 0000005e | Write Data: 0000c1fc | Read Data: 0000c1fc | Data Match
# Address: 0000005f | Write Data: 00004b71 | Read Data: 00004b71 | Data Match
# Address: 00000060 | Write Data: 0000cdbd | Read Data: 0000cdbd | Data Match
# Address: 00000061 | Write Data: 00009f82 | Read Data: 00009f82 | Data Match
# Address: 00000062 | Write Data: 0000a889 | Read Data: 0000a889 | Data Match
# Address: 00000063 | Write Data: 0000b829 | Read Data: 0000b829 | Data Match
# Address: 00000064 | Write Data: 00006d81 | Read Data: 00006d81 | Data Match
# Address: 00000065 | Write Data: 0000fd5e | Read Data: 0000fd5e | Data Match
# Address: 00000066 | Write Data: 000005ad | Read Data: 000005ad | Data Match
# Address: 00000067 | Write Data: 0000ac57 | Read Data: 0000ac57 | Data Match
# Address: 00000068 | Write Data: 0000e994 | Read Data: 0000e994 | Data Match
# Address: 00000069 | Write Data: 000071a8 | Read Data: 000071a8 | Data Match
# Address: 0000006a | Write Data: 00002b7d | Read Data: 00002b7d | Data Match
# Address: 0000006b | Write Data: 0000b474 | Read Data: 0000b474 | Data Match
# Address: 0000006c | Write Data: 00001da8 | Read Data: 00001da8 | Data Match
# Address: 0000006d | Write Data: 0000144a | Read Data: 0000144a | Data Match
# Address: 0000006e | Write Data: 0000b6af | Read Data: 0000b6af | Data Match
# Address: 0000006f | Write Data: 0000ad59 | Read Data: 0000ad59 | Data Match
# Address: 00000070 | Write Data: 0000874d | Read Data: 0000874d | Data Match
# Address: 00000071 | Write Data: 000091a1 | Read Data: 000091a1 | Data Match
# Address: 00000072 | Write Data: 00003c1e | Read Data: 00003c1e | Data Match
# Address: 00000073 | Write Data: 00008a1c | Read Data: 00008a1c | Data Match
# Address: 00000074 | Write Data: 0000d0fe | Read Data: 0000d0fe | Data Match
# Address: 00000075 | Write Data: 0000c548 | Read Data: 0000c548 | Data Match
# Address: 00000076 | Write Data: 0000dd25 | Read Data: 0000dd25 | Data Match
# Address: 00000077 | Write Data: 00003f6a | Read Data: 00003f6a | Data Match
# Address: 00000078 | Write Data: 00004b49 | Read Data: 00004b49 | Data Match
# Address: 00000079 | Write Data: 000005ce | Read Data: 000005ce | Data Match
# Address: 0000007a | Write Data: 00006700 | Read Data: 00006700 | Data Match
# Address: 0000007b | Write Data: 00005433 | Read Data: 00005433 | Data Match
# Address: 0000007c | Write Data: 00005ec3 | Read Data: 00005ec3 | Data Match
# Address: 0000007d | Write Data: 0000f8fe | Read Data: 0000f8fe | Data Match
# Address: 0000007e | Write Data: 0000a75e | Read Data: 0000a75e | Data Match
# Address: 0000007f | Write Data: 000080bb | Read Data: 000080bb | Data Match
# Address: 00000080 | Write Data: 00008d1b | Read Data: 00008d1b | Data Match
# Address: 00000081 | Write Data: 0000038a | Read Data: 0000038a | Data Match
# Address: 00000082 | Write Data: 0000ad41 | Read Data: 0000ad41 | Data Match
# Address: 00000083 | Write Data: 0000303b | Read Data: 0000303b | Data Match
# Address: 00000084 | Write Data: 000081ed | Read Data: 000081ed | Data Match
# Address: 00000085 | Write Data: 00002e08 | Read Data: 00002e08 | Data Match
# Address: 00000086 | Write Data: 0000ad79 | Read Data: 0000ad79 | Data Match
# Address: 00000087 | Write Data: 00001321 | Read Data: 00001321 | Data Match
# Address: 00000088 | Write Data: 000007c4 | Read Data: 000007c4 | Data Match
# Address: 00000089 | Write Data: 0000d67e | Read Data: 0000d67e | Data Match
# Address: 0000008a | Write Data: 00008cac | Read Data: 00008cac | Data Match
# Address: 0000008b | Write Data: 00001d93 | Read Data: 00001d93 | Data Match
# Address: 0000008c | Write Data: 000095b2 | Read Data: 000095b2 | Data Match
# Address: 0000008d | Write Data: 00006088 | Read Data: 00006088 | Data Match
# Address: 0000008e | Write Data: 0000488f | Read Data: 0000488f | Data Match
# Address: 0000008f | Write Data: 00002506 | Read Data: 00002506 | Data Match
# Address: 00000090 | Write Data: 00002f03 | Read Data: 00002f03 | Data Match
# Address: 00000091 | Write Data: 0000dad6 | Read Data: 0000dad6 | Data Match
# Address: 00000092 | Write Data: 0000ffb5 | Read Data: 0000ffb5 | Data Match
# Address: 00000093 | Write Data: 0000cb45 | Read Data: 0000cb45 | Data Match
# Address: 00000094 | Write Data: 0000fafc | Read Data: 0000fafc | Data Match
# Address: 00000095 | Write Data: 0000ade9 | Read Data: 0000ade9 | Data Match
# Address: 00000096 | Write Data: 000037b0 | Read Data: 000037b0 | Data Match
# Address: 00000097 | Write Data: 000048ff | Read Data: 000048ff | Data Match
# Address: 00000098 | Write Data: 00001201 | Read Data: 00001201 | Data Match
# Address: 00000099 | Write Data: 0000c7bd | Read Data: 0000c7bd | Data Match
# Address: 0000009a | Write Data: 000018aa | Read Data: 000018aa | Data Match
# Address: 0000009b | Write Data: 00002d20 | Read Data: 00002d20 | Data Match
# Address: 0000009c | Write Data: 0000b70b | Read Data: 0000b70b | Data Match
# Address: 0000009d | Write Data: 00001bd9 | Read Data: 00001bd9 | Data Match
# Address: 0000009e | Write Data: 0000c9d2 | Read Data: 0000c9d2 | Data Match
# Address: 0000009f | Write Data: 0000e52d | Read Data: 0000e52d | Data Match
# Address: 000000a0 | Write Data: 00007585 | Read Data: 00007585 | Data Match
# Address: 000000a1 | Write Data: 0000ba4f | Read Data: 0000ba4f | Data Match
# Address: 000000a2 | Write Data: 000095f8 | Read Data: 000095f8 | Data Match
# Address: 000000a3 | Write Data: 000095ac | Read Data: 000095ac | Data Match
# Address: 000000a4 | Write Data: 000086c4 | Read Data: 000086c4 | Data Match
# Address: 000000a5 | Write Data: 00006200 | Read Data: 00006200 | Data Match
# Address: 000000a6 | Write Data: 00003878 | Read Data: 00003878 | Data Match
# Address: 000000a7 | Write Data: 00001d74 | Read Data: 00001d74 | Data Match
# Address: 000000a8 | Write Data: 0000b43d | Read Data: 0000b43d | Data Match
# Address: 000000a9 | Write Data: 0000b838 | Read Data: 0000b838 | Data Match
# Address: 000000aa | Write Data: 00001159 | Read Data: 00001159 | Data Match
# Address: 000000ab | Write Data: 00007a80 | Read Data: 00007a80 | Data Match
# Address: 000000ac | Write Data: 00003bcb | Read Data: 00003bcb | Data Match
# Address: 000000ad | Write Data: 0000ae05 | Read Data: 0000ae05 | Data Match
# Address: 000000ae | Write Data: 00007755 | Read Data: 00007755 | Data Match
# Address: 000000af | Write Data: 0000ede0 | Read Data: 0000ede0 | Data Match
# Address: 000000b0 | Write Data: 00008835 | Read Data: 00008835 | Data Match
# Address: 000000b1 | Write Data: 00007afd | Read Data: 00007afd | Data Match
# Address: 000000b2 | Write Data: 000002af | Read Data: 000002af | Data Match
# Address: 000000b3 | Write Data: 0000d02c | Read Data: 0000d02c | Data Match
# Address: 000000b4 | Write Data: 0000b61e | Read Data: 0000b61e | Data Match
# Address: 000000b5 | Write Data: 00002d44 | Read Data: 00002d44 | Data Match
# Address: 000000b6 | Write Data: 00005e0d | Read Data: 00005e0d | Data Match
# Address: 000000b7 | Write Data: 00007d4b | Read Data: 00007d4b | Data Match
# Address: 000000b8 | Write Data: 0000207c | Read Data: 0000207c | Data Match
# Address: 000000b9 | Write Data: 0000e7b2 | Read Data: 0000e7b2 | Data Match
# Address: 000000ba | Write Data: 00005863 | Read Data: 00005863 | Data Match
# Address: 000000bb | Write Data: 0000ece5 | Read Data: 0000ece5 | Data Match
# Address: 000000bc | Write Data: 0000b147 | Read Data: 0000b147 | Data Match
# Address: 000000bd | Write Data: 0000c772 | Read Data: 0000c772 | Data Match
# Address: 000000be | Write Data: 0000e480 | Read Data: 0000e480 | Data Match
# Address: 000000bf | Write Data: 0000e7dd | Read Data: 0000e7dd | Data Match
# Address: 000000c0 | Write Data: 00004e3e | Read Data: 00004e3e | Data Match
# Address: 000000c1 | Write Data: 000020da | Read Data: 000020da | Data Match
# Address: 000000c2 | Write Data: 0000f98a | Read Data: 0000f98a | Data Match
# Address: 000000c3 | Write Data: 0000ba23 | Read Data: 0000ba23 | Data Match
# Address: 000000c4 | Write Data: 00002191 | Read Data: 00002191 | Data Match
# Address: 000000c5 | Write Data: 0000d220 | Read Data: 0000d220 | Data Match
# Address: 000000c6 | Write Data: 00001c95 | Read Data: 00001c95 | Data Match
# Address: 000000c7 | Write Data: 000005a2 | Read Data: 000005a2 | Data Match
# Address: 000000c8 | Write Data: 0000ec91 | Read Data: 0000ec91 | Data Match
# Address: 000000c9 | Write Data: 0000eded | Read Data: 0000eded | Data Match
# Address: 000000ca | Write Data: 00000655 | Read Data: 00000655 | Data Match
# Address: 000000cb | Write Data: 00006fef | Read Data: 00006fef | Data Match
# Address: 000000cc | Write Data: 00009bf1 | Read Data: 00009bf1 | Data Match
# Address: 000000cd | Write Data: 0000e15f | Read Data: 0000e15f | Data Match
# Address: 000000ce | Write Data: 00009e38 | Read Data: 00009e38 | Data Match
# Address: 000000cf | Write Data: 000014f0 | Read Data: 000014f0 | Data Match
# Address: 000000d0 | Write Data: 000079a1 | Read Data: 000079a1 | Data Match
# Address: 000000d1 | Write Data: 00000528 | Read Data: 00000528 | Data Match
# Address: 000000d2 | Write Data: 000046bc | Read Data: 000046bc | Data Match
# Address: 000000d3 | Write Data: 0000b0fc | Read Data: 0000b0fc | Data Match
# Address: 000000d4 | Write Data: 00007be1 | Read Data: 00007be1 | Data Match
# Address: 000000d5 | Write Data: 0000985f | Read Data: 0000985f | Data Match
# Address: 000000d6 | Write Data: 0000dcba | Read Data: 0000dcba | Data Match
# Address: 000000d7 | Write Data: 00005f60 | Read Data: 00005f60 | Data Match
# Address: 000000d8 | Write Data: 000065fd | Read Data: 000065fd | Data Match
# Address: 000000d9 | Write Data: 000035d2 | Read Data: 000035d2 | Data Match
# Address: 000000da | Write Data: 00001839 | Read Data: 00001839 | Data Match
# Address: 000000db | Write Data: 0000ee26 | Read Data: 0000ee26 | Data Match
# Address: 000000dc | Write Data: 0000bb0f | Read Data: 0000bb0f | Data Match
# Address: 000000dd | Write Data: 0000289f | Read Data: 0000289f | Data Match
# Address: 000000de | Write Data: 0000351a | Read Data: 0000351a | Data Match
# Address: 000000df | Write Data: 0000dfaf | Read Data: 0000dfaf | Data Match
# Address: 000000e0 | Write Data: 000016e0 | Read Data: 000016e0 | Data Match
# Address: 000000e1 | Write Data: 0000a759 | Read Data: 0000a759 | Data Match
# Address: 000000e2 | Write Data: 0000bb64 | Read Data: 0000bb64 | Data Match
# Address: 000000e3 | Write Data: 0000fcb1 | Read Data: 0000fcb1 | Data Match
# Address: 000000e4 | Write Data: 00001598 | Read Data: 00001598 | Data Match
# Address: 000000e5 | Write Data: 0000e273 | Read Data: 0000e273 | Data Match
# Address: 000000e6 | Write Data: 0000fb9b | Read Data: 0000fb9b | Data Match
# Address: 000000e7 | Write Data: 00002db8 | Read Data: 00002db8 | Data Match
# Address: 000000e8 | Write Data: 00001581 | Read Data: 00001581 | Data Match
# Address: 000000e9 | Write Data: 0000901c | Read Data: 0000901c | Data Match
# Address: 000000ea | Write Data: 0000f3bb | Read Data: 0000f3bb | Data Match
# Address: 000000eb | Write Data: 0000cefc | Read Data: 0000cefc | Data Match
# Address: 000000ec | Write Data: 00001d83 | Read Data: 00001d83 | Data Match
# Address: 000000ed | Write Data: 00005077 | Read Data: 00005077 | Data Match
# Address: 000000ee | Write Data: 0000dc02 | Read Data: 0000dc02 | Data Match
# Address: 000000ef | Write Data: 00006902 | Read Data: 00006902 | Data Match
# Address: 000000f0 | Write Data: 0000058f | Read Data: 0000058f | Data Match
# Address: 000000f1 | Write Data: 0000903a | Read Data: 0000903a | Data Match
# Address: 000000f2 | Write Data: 00009147 | Read Data: 00009147 | Data Match
# Address: 000000f3 | Write Data: 0000a7b1 | Read Data: 0000a7b1 | Data Match
# Address: 000000f4 | Write Data: 00003ed3 | Read Data: 00003ed3 | Data Match
# Address: 000000f5 | Write Data: 0000f375 | Read Data: 0000f375 | Data Match
# Address: 000000f6 | Write Data: 00006b36 | Read Data: 00006b36 | Data Match
# Address: 000000f7 | Write Data: 0000ff7d | Read Data: 0000ff7d | Data Match
# Address: 000000f8 | Write Data: 0000e718 | Read Data: 0000e718 | Data Match
