# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of Top.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.Top
#    Time: 215 ns Started: 205 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  225	Input Read Address: 00000003 | Read Address(ARADDR): 00000003 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 225 ns Started: 215 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 225 ns Started: 215 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 235 ns Started: 225 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 255 ns Started: 245 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 265 ns Started: 255 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  275	Input Read Address: 00000004 | Read Address(ARADDR): 00000004 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 275 ns Started: 265 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 275 ns Started: 265 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 285 ns Started: 275 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 305 ns Started: 295 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 315 ns Started: 305 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  325	Input Read Address: 00000005 | Read Address(ARADDR): 00000005 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 325 ns Started: 315 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 325 ns Started: 315 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 335 ns Started: 325 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 355 ns Started: 345 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 365 ns Started: 355 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  375	Input Read Address: 00000006 | Read Address(ARADDR): 00000006 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 375 ns Started: 365 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 375 ns Started: 365 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 385 ns Started: 375 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 405 ns Started: 395 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 415 ns Started: 405 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  425	Input Read Address: 00000007 | Read Address(ARADDR): 00000007 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 425 ns Started: 415 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 425 ns Started: 415 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 435 ns Started: 425 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 455 ns Started: 445 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 465 ns Started: 455 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  475	Input Read Address: 00000008 | Read Address(ARADDR): 00000008 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 475 ns Started: 465 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 475 ns Started: 465 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 485 ns Started: 475 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 505 ns Started: 495 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 515 ns Started: 505 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  525	Input Read Address: 00000009 | Read Address(ARADDR): 00000009 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 525 ns Started: 515 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 525 ns Started: 515 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 535 ns Started: 525 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 555 ns Started: 545 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 565 ns Started: 555 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  575	Input Read Address: 0000000a | Read Address(ARADDR): 0000000a | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 575 ns Started: 565 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 575 ns Started: 565 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 585 ns Started: 575 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 605 ns Started: 595 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 615 ns Started: 605 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  625	Input Read Address: 0000000b | Read Address(ARADDR): 0000000b | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 625 ns Started: 615 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 625 ns Started: 615 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 635 ns Started: 625 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 655 ns Started: 645 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 665 ns Started: 655 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  675	Input Read Address: 0000000c | Read Address(ARADDR): 0000000c | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 675 ns Started: 665 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 675 ns Started: 665 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 685 ns Started: 675 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 705 ns Started: 695 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 715 ns Started: 705 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  725	Input Read Address: 0000000d | Read Address(ARADDR): 0000000d | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 725 ns Started: 715 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 725 ns Started: 715 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 735 ns Started: 725 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 755 ns Started: 745 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 765 ns Started: 755 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  775	Input Read Address: 0000000e | Read Address(ARADDR): 0000000e | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 775 ns Started: 765 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 775 ns Started: 765 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 785 ns Started: 775 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 805 ns Started: 795 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 815 ns Started: 805 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  825	Input Read Address: 0000000f | Read Address(ARADDR): 0000000f | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 825 ns Started: 815 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 825 ns Started: 815 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 835 ns Started: 825 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 855 ns Started: 845 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 865 ns Started: 855 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  875	Input Read Address: 00000010 | Read Address(ARADDR): 00000010 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 875 ns Started: 865 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 875 ns Started: 865 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 885 ns Started: 875 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 905 ns Started: 895 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 915 ns Started: 905 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  925	Input Read Address: 00000011 | Read Address(ARADDR): 00000011 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 925 ns Started: 915 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
# ** Info: SR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 925 ns Started: 915 ns  Scope: Top.SR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 455
# ** Info: MR_state_transition_IDLE_a: ASSERTION PASS => When in IDLE state and rd_en is high then next state is ADDR in the next clock cycle
#    Time: 935 ns Started: 925 ns  Scope: Top.MR_state_transition_IDLE_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 343
# ** Info: SR_state_transition_ADDR_a: ASSERTION PASS => when in ADDR state then next state is DATA in the next clock cycle
#    Time: 955 ns Started: 945 ns  Scope: Top.SR_state_transition_ADDR_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 439
# ** Info: SR_state_transition_DATA_a: ASSERTION PASS => when in DATA state and RREADY is high then next state is RESP in the next clock cycle
#    Time: 965 ns Started: 955 ns  Scope: Top.SR_state_transition_DATA_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 447
#                  975	Input Read Address: 00000012 | Read Address(ARADDR): 00000012 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# ** Info: MR_state_transition_RESP_a: ASSERTION PASS => when in RESP state then next state is IDLE in the next clock cycle
#    Time: 975 ns Started: 965 ns  Scope: Top.MR_state_transition_RESP_a File: N:/Desktop/AXI4_LITE/Top.sv Line: 372
